 ,dive_ctd,sample_name,collection_method,sample_type,sample_identifier,filter,processing,location_name,depth_category,depth,fluid_origin,lat,long,pH,temp,prok,site,year
AXIAL_23_185b_J21505_Mkr113_SUPR_vent_F1105_PES02_INSITU_16S,J21505,Mkr113,SUPR,vent,F1105,PES02,INSITU,Marker 113,diffuse,1519,F1105,45.933592,-130.014068,NA,NA,NA,Axial,2023
AXIAL_23_186_J21505_Vixen_SUPR_vent_F211_GFF_INSITU_18S,J21505,Vixen,SUPR,vent,F211,GFF,INSITU,Vixen,diffuse,1530,F211,45.917323,-129.992961,NA,NA,NA,Axial,2023
AXIAL_23_187_J21502_Mkr33_CTD_vent_N1N2N3_PES02_SHIPBOARD_18S,J21502,Mkr33,CTD,vent,N1N2N3,PES02,SHIPBOARD,Marker 33,above vent,1510,N1N2N3,45.933121,-129.982332,NA,NA,344000,Axial,2023
AXIAL_23_188_J21502_Mkr33_CTD_vent_N1N2N3_PES02_SHIPBOARD_18S,J21502,Mkr33,CTD,vent,N1N2N3,PES02,SHIPBOARD,Marker 33,above vent,1510,N1N2N3,45.933121,-129.982332,NA,NA,NA,Axial,2023
AXIAL_23_189_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,ASHES,euphotic,200,Niskin,45.933497,-130.013489,NA,NA,53700,Axial,2023
AXIAL_23_190_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,ASHES,euphotic,200,Niskin,45.933497,-130.013489,NA,NA,235000,Axial,2023
AXIAL_23_191_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,ASHES,oxycline,375,Niskin,45.933497,-130.013489,NA,NA,146000,Axial,2023
AXIAL_23_192_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,ASHES,peak plume,1512,Niskin,45.933497,-130.013489,NA,NA,98000,Axial,2023
AXIAL_23_193_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,ASHES,peak plume,1512,Niskin,45.933497,-130.013489,NA,NA,121000,Axial,2023
AXIAL_23_194_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,ASHES,plume top,1497,Niskin,45.933497,-130.013489,NA,NA,84000,Axial,2023
AXIAL_23_195_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,ASHES,plume top,1497,Niskin,45.933497,-130.013489,NA,NA,101000,Axial,2023
AXIAL_23_196_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,ASHES,under plume,1530,Niskin,45.933497,-130.013489,NA,NA,67700,Axial,2023
AXIAL_23_197_CTD003_Background_CTD_background_REP1_PES02_SHIPBOARD_18S,CTD003,Background,CTD,background,REP1,PES02,SHIPBOARD,Background,background,1200,REP1,45.925,-130.0495,NA,NA,81900,Axial,2023
AXIAL_23_198_CTD003_Background_CTD_background_REP2_PES02_SHIPBOARD_18S,CTD003,Background,CTD,background,REP2,PES02,SHIPBOARD,Background,background,1200,REP2,45.925,-130.0495,NA,NA,65300,Axial,2023
AXIAL_23_199_CTD003_Background_CTD_background_REP3_PES02_SHIPBOARD_18S,CTD003,Background,CTD,background,REP3,PES02,SHIPBOARD,Background,background,1200,REP3,45.925,-130.0495,NA,NA,NA,Axial,2023
AXIAL_23_200_CTD004_IntlDist_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD004,IntlDist,CTD,plume,Niskin,PES02,SHIPBOARD,International District,peak plume,1498,Niskin,45.92638333,-129.9799667,NA,NA,NA,Axial,2023
AXIAL_23_201_CTD004_IntlDist_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD004,IntlDist,CTD,plume,Niskin,PES02,SHIPBOARD,International District,plume top,1489,Niskin,45.92638333,-129.9799667,NA,NA,43100,Axial,2023
AXIAL_23_202_CTD004_IntlDist_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD004,IntlDist,CTD,plume,Niskin,PES02,SHIPBOARD,International District,plume top,1489,Niskin,45.92638333,-129.9799667,NA,NA,NA,Axial,2023
