 ,dive_ctd,sample_name,collection_method,sample_type,sample_identifier,filter,processing,location_name,depth_category,depth,fluid_origin,lat,long,pH,temp,prok,site,year
58_MCR_VonDamm_expTf_Plume_0_0_Jun2021,NA,Plume,expTf,incubation,expTf,PES02_sterivex,HOG,Plume,Incubation,NA,expTf,NA,NA,NA,NA,NA,VonDamm,2020
59_MCR_VonDamm_expTf_X18_0_0_Jun2021,NA,X18,expTf,incubation,expTf,PES02_sterivex,HOG,X18,Incubation,NA,expTf,NA,NA,NA,NA,NA,VonDamm,2020
60_MCR_VonDamm_expTf_BSW_0_0_Jun2021,NA,BSW,expTf,incubation,expTf,PES02_sterivex,HOG,BSW,Incubation,NA,expTf,NA,NA,NA,NA,NA,VonDamm,2020
61_MCR_VonDamm_expTf_Rav2_0_0_Jun2021,NA,Rav2,expTf,incubation,expTf,PES02_sterivex,HOG,Rav2,Incubation,NA,expTf,NA,NA,NA,NA,NA,VonDamm,2020
65_MCR_VonDamm_CTD_Plume_CTD003_0_Jun2021,NA,Plume,CTD,plume,CTD,PES02_sterivex,HOG,Plume,Plume,1979,CTD,18.3776,-81.799317,NA,4.208,16478.313,VonDamm,2020
66_MCR_VonDamm_HOG_ArrowLoop_J21243HOG18_5_Jun2021,NA,ArrowLoop,HOG,vent,HOG,PES02_sterivex,HOG,ArrowLoop,Vent,2309,HOG,18.376659,-81.797986,5.69,137,10369.792,VonDamm,2020
67_MCR_VonDamm_HOG_WhiteCastle_J21235HOG12_5_Jun2021,NA,WhiteCastle,HOG,vent,HOG,PES02_sterivex,HOG,WhiteCastle,Vent,2307,HOG,18.377005,-81.798088,5.49,108,NA,VonDamm,2020
69_MCR_VonDamm_HOG_MustardStand_J21243HOG14_5_Jun2021,NA,MustardStand,HOG,vent,HOG,PES02_sterivex,HOG,MustardStand,Vent,2374,HOG,18.37513,-81.797488,5.63,108,56677,VonDamm,2020
70_MCR_VonDamm_HOG_Rav2_J21238HOG14_5_Jun2021,NA,Rav2,HOG,vent,HOG,PES02_sterivex,HOG,Rav2,Vent,2389.6,HOG,18.375112,-81.79718,5.81,94,NA,VonDamm,2020
71_MCR_VonDamm_HOG_OldManTree_J21238HOG20_5_Jun2021,NA,OldManTree,HOG,vent,HOG,PES02_sterivex,HOG,OldManTree,Vent,2375.8,HOG,18.375069,-81.797678,5.69,121.6,NA,VonDamm,2020
72_MCR_VonDamm_HOG_ShrimpHole_J21244HOG18_0_Jun2021,NA,ShrimpHole,HOG,vent,HOG,PES02_sterivex,HOG,ShrimpHole,Vent,2376,HOG,18.374893,-81.797441,7.72,21,NA,VonDamm,2020
76_MCR_VonDamm_HOG_X18_J21235HOG20_0_Jun2021,NA,X18,HOG,vent,HOG,PES02_sterivex,HOG,X18,Vent,2377,HOG,18.37481,-81.797411,6.99,48,111429.781,VonDamm,2020
79_MCR_VonDamm_HOG_Bartizan_J21244HOG12_5_Jun2021,NA,Bartizan,HOG,vent,HOG,PES02_sterivex,HOG,Bartizan,Vent,2307,HOG,18.798096,-81.377907,5.8,129,16163.441,VonDamm,2020
80_MCR_VonDamm_HOG_Rav2_J21244HOG20_0_Jun2021,NA,Rav2,HOG,vent,HOG,PES02_sterivex,HOG,Rav2,Vent,2388.9,HOG,18.375254,-81.797176,5.81,98.2,NA,VonDamm,2020
AXIAL_22_103_CTD005_IntlDistrict_CTD_plume_CTD005_PES02_SHIPBOARD_18S,CTD005,IntlDistrict,CTD,plume,CTD005,PES02,SHIPBOARD,International District,peak plume,1493,CTD005,45.92638333,-129.9799667,NA,NA,83700,Axial,2022
AXIAL_22_105_J21434_Anemone_HFS_vent_1434HSF15_PES02_SHIPBOARD_18S,J21434,Anemone,HFS,vent,1434HSF15,PES02,SHIPBOARD,Anemone,diffuse,1540,1434HSF15,45.933592,-130.014068,NA,NA,NA,Axial,2022
AXIAL_22_106_CTD005_IntlDistrict_CTD_plume_CTD005_PES02_SHIPBOARD_18S,CTD005,IntlDistrict,CTD,plume,CTD005,PES02,SHIPBOARD,International District,under plume,1505,CTD005,45.92638333,-129.9799667,NA,NA,92200,Axial,2022
AXIAL_22_107_CTD005_IntlDistrict_CTD_plume_CTD005_PES02_SHIPBOARD_18S,CTD005,IntlDistrict,CTD,plume,CTD005,PES02,SHIPBOARD,International District,plume top,1492,CTD005,45.92638333,-129.9799667,NA,NA,NA,Axial,2022
AXIAL_22_111_CTD003_ASHES_CTD_plume_CTD003_PES02_SHIPBOARD_18S,CTD003,ASHES,CTD,plume,CTD003,PES02,SHIPBOARD,ASHES,peak plume,1533,CTD003,45.925,-130.0495,NA,NA,NA,Axial,2022
